name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,source_file
Final Conditional,0.1006025147916419,0.0518150400447328,0.0922165497694496,0.0767870384148865,0.0083859650221923,0.043803789644064,0.0370217226614529,50.81990599632263,ConditionalCensoringFinalCensoredModel,0.9985,0.8460753952434313,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S22,4000,20,10,10,0.3132398869327538,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1094101989115428,0.052367963264919,0.0713185156933633,0.0392472168130634,0.0380916832181795,0.0459779163107989,0.0388609948729873,4.754261255264282,ConditionalCensoringFinalCensoredModel,1.0,0.8805918277962046,RMST,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S01,500,5,1,1,2.4132038555175557,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0716880493663516,0.0327329000442694,0.0638179119381971,0.0244290575291551,0.0078701374281545,0.0403447296683733,0.0328701659080639,4.821568727493286,ConditionalCensoringFinalCensoredModel,0.99,0.0640689748243084,survival.probability,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S01,500,5,1,1,0.2873070264876396,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0655484205776409,0.0287102659316656,0.0688891293692995,0.0282094473336514,-0.0033407087916586,0.0313749442688707,0.0249002669635842,6.292067766189575,ConditionalCensoringFinalCensoredModel,0.988,0.399323934620836,RMST,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S02,1000,5,1,1,2.1132953249860096,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0681680238035392,0.0309980336302121,0.0713824952174334,0.0183350185452192,-0.0032144714138942,0.0356569508511715,0.0294278973710825,6.147351503372192,ConditionalCensoringFinalCensoredModel,0.985,0.0316404563584558,survival.probability,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S02,1000,5,1,1,0.2882976949800815,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0471617532448903,0.0718633451298945,0.0813594160021898,0.0536777437470334,-0.0341976627572994,0.1170222280735518,0.0690565520221591,9.697337865829468,ConditionalCensoringFinalCensoredModel,0.8365,-0.5805735633054948,RMST,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S03,2000,5,1,1,3.745578462332875,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0505157846463541,0.0243564072221833,0.0630750090727684,0.0245102709805933,-0.0125592244264142,0.032347606260285,0.025556881287804,9.565952777862549,ConditionalCensoringFinalCensoredModel,0.9805,0.255748390697135,survival.probability,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S03,2000,5,1,1,0.28995987039785,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0202011476897479,0.0306604749637907,0.0741597787856929,0.0398380387597482,-0.0539586310959449,0.0763890718464804,0.0568511874426031,17.083173990249634,ConditionalCensoringFinalCensoredModel,0.7745,-0.162356762353743,RMST,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S04,4000,5,1,1,3.340507683281546,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.053003988909521,0.0390984534409483,0.0678333406239524,0.0208915940451003,-0.0148293517144314,0.0390780571805459,0.0305510633577197,16.305681943893433,ConditionalCensoringFinalCensoredModel,0.90075,0.4027543517222384,survival.probability,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S04,4000,5,1,1,0.2826141512794781,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0835249823104144,0.056036033810041,0.0769425439714127,0.0455111832936876,0.0065824383390016,0.0285959024063156,0.0198458481065284,34.73715853691101,ConditionalCensoringFinalCensoredModel,0.999875,0.8698910999861282,RMST,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S05,8000,5,1,1,3.4349707148158584,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
